"Id del Producto";"Referencia del Producto";"Atributo (Nombre:Tipo:Posicion)*";"Valor (Valor:Posicion)*";"Ref proveedor";"Referencia";"EAN13";"UPC";"MPN";"Precio de coste";"Impacto en el precio";"Ecotasa";"Cantidad";"Cantidad minima";"Nivel de stock bajo";"Enviame un mensaje de correo electronico";"Impacto en el peso";"Predeterminado (0=No, 1=Si)";"Fecha de disponibilidad de la combinacion";"Elegir entre imagenes de productos por posicion(1,2,3)";"URLs de las imagenes(x,y,z...)";"Textos alternativos de imagen(x,y,z...)";"Id / Nombre de la tienda"
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"80 cm:0,Blanco mate:1,Sin espejo / ver otras opciones en complementos:2";"";"C0074180";"8414623510280";"";"";"";65.83;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"80 cm:0,Roble nórdico:1,Sin espejo / ver otras opciones en complementos:2";"";"C0073376";"8414623386335";"";"";"";65.83;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"100 cm:0,Arena mate:1,Sin espejo / ver otras opciones en complementos:2";"";"C0074195";"8414623510136";"";"";"";196.51;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"60 cm:0,Arena mate:1,Sin espejo / ver otras opciones en complementos:2";"";"C0074174";"8414623510341";"";"";"";-0.97;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"100 cm:0,Fresno samara:1,Espejo oferta pack premium Blaze LED (Royo):2";"";"C0076787";"8414623605061";"";"";"";377.52;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"80 cm:0,Fresno samara:1,Sin espejo / ver otras opciones en complementos:2";"";"C0073377";"8414623386328";"";"";"";65.83;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"100 cm:0,Roble nórdico:1,Sin espejo / ver otras opciones en complementos:2";"";"C0073384";"8414623386250";"";"";"";196.51;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"60 cm:0,Blanco brillo:1,Espejo oferta pack con aplique de luz LED de 30cm:2";"";"C0074170";"8414623510389";"";"";"";78.41;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"80 cm:0,Fresno samara:1,Espejo oferta pack con aplique de luz LED de 30cm:2";"";"C0074176";"8414623510327";"";"";"";143.27;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"60 cm:0,Azul ocean:1,Sin espejo / ver otras opciones en complementos:2";"";"C0077855";"8414623649522";"";"";"";11.62;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"100 cm:0,Blanco mate:1,Sin espejo / ver otras opciones en complementos:2";"";"C0074194";"8414623510143";"";"";"";196.51;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"60 cm:0,Fresno samara:1,Espejo oferta pack premium Blaze LED (Royo):2";"";"C0076777";"8414623605160";"";"";"";189.73;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"60 cm:0,Arena mate:1,Espejo oferta pack premium Blaze LED (Royo):2";"";"C0076780";"8414623605139";"";"";"";189.73;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"100 cm:0,Roble nórdico:1,Espejo oferta pack con aplique de luz LED de 30cm:2";"";"C0074189";"8414623510198";"";"";"";274.91;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
89;"";"Medida:select:0,Acabado:select:1,Espejo:select:2";"80 cm:0,Roble nórdico:1,Espejo oferta pack con aplique de luz LED de 30cm:2";"";"C0074175";"8414623510334";"";"";"";143.27;0;100;1;"";"";0;0;"";1;"https://cdn.todomueblesdebano.com/image/upload/f_auto%2Cq_auto/v1/products/81b7dee2-a4c6-4310-809c-605e0a7c3bcd/Alfa_80_2C_BlancoMate_Slim_Murano_Lucce30_1670584677.9627507";"";1
